split,city,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
test,Beijing,200,path_loss,los,1.4151124418475907,1.7163637868214057,-0.301251344973815,0.777466827240591,1.1136103366111394,-0.3361435093705484,30803073
test,Beijing,200,path_loss,nlos,2.8661467718866382,3.252657575959517,-0.38651080407287886,1.8563438358115758,2.272379771435807,-0.41603593562423136,2103773
test,Beijing,200,delay_spread,overall,23.284304572401105,24.140019130266776,-0.8557145578656709,8.730100523913226,6.980301692040967,1.7497988318722593,42575395
test,Beijing,200,delay_spread,los,24.20805641048846,25.296596269509326,-1.088539859020866,10.906629025190929,8.991181767095933,1.9154472580949964,30803073
test,Beijing,200,delay_spread,nlos,20.672857012843167,20.811832383814934,-0.13897537097176738,3.0350673979826346,1.718698773646747,1.3163686243358876,11772322
test,Beijing,200,angular_spread,overall,10.524790136239053,12.170049755555578,-1.6452596193165245,5.266278492725963,4.5318416033449305,0.7344368893810325,42575395
test,Beijing,200,angular_spread,los,11.67670699357253,13.700490361049958,-2.023783367477428,6.72482568465044,5.990801494312353,0.7340241903380873,30803073
test,Beijing,200,angular_spread,nlos,6.62226425298918,6.67169478938379,-0.0494305363946097,1.4498914609464857,0.7143748605506924,0.7355166003957933,11772322
train,Berlin,270,path_loss,overall,1.8970040644590769,2.2236372163322726,-0.32663315187319575,1.0362884803548045,1.4163610729637344,-0.3800725926089299,40213738
train,Berlin,270,path_loss,los,1.600641032620621,1.9026103399546024,-0.3019693073339813,0.8568246417637088,1.2233560740416751,-0.36653143227796636,35254980
train,Berlin,270,path_loss,nlos,3.3118397199309184,3.789755775315304,-0.47791605538438553,2.3122116059517435,2.788557028009807,-0.4763454220580634,4958758
train,Berlin,270,delay_spread,overall,35.40574154080072,37.808031858620936,-2.402290317820217,12.745564214774651,11.996005133768286,0.7495590810063657,56797095
train,Berlin,270,delay_spread,los,33.12937893523404,36.7690675083884,-3.6396885731543662,16.432638691993915,16.14063665159976,0.29200204039415567,35254980
train,Berlin,270,delay_spread,nlos,38.844402726654764,39.44936983191797,-0.6049671052632064,6.711442860808988,5.213064197148781,1.4983786636602074,21542115
train,Berlin,270,angular_spread,overall,12.19835736859242,14.95620676090939,-2.7578493923169702,6.231794249789656,6.366308381396971,-0.13451413160731462,56797095
train,Berlin,270,angular_spread,los,13.521208568929108,17.307929337931977,-3.7867207690028692,8.601722052010231,9.287081145693593,-0.6853590936833616,35254980
train,Berlin,270,angular_spread,nlos,9.649816293118837,9.975567442523882,-0.3257511494050451,2.3532635100635595,1.5862864322521826,0.7669770778113769,21542115
val,Bilbao,50,path_loss,overall,1.9990929659155434,2.3450207438617925,-0.34592777794624907,1.068734671893234,1.4786334703640114,-0.40989879847077737,6766216
val,Bilbao,50,path_loss,los,1.5943340080441715,1.936158109394589,-0.3418241013504175,0.8318067928652814,1.2403334542927498,-0.4085266614274684,5822416
val,Bilbao,50,path_loss,nlos,3.6012753787429315,4.0370333257787845,-0.435757947035853,2.530371351716983,2.9487350132112207,-0.41836366149423787,943800
val,Bilbao,50,delay_spread,overall,41.44827236739841,43.74091429184195,-2.2926419244435436,14.694786878581846,13.911980050214407,0.7828068283674394,9661570
val,Bilbao,50,delay_spread,los,40.572796004925834,44.00750859443498,-3.4347125895091466,19.23255693625507,18.818950421794405,0.413606514460664,5822416
val,Bilbao,50,delay_spread,nlos,42.741802939086426,43.33346911066849,-0.5916661715820624,7.812857773152626,6.47012645417204,1.3427313189805856,3839154
