split,subexpert,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
train,mixed|high_ant,1323,path_loss,los,1.4393733224915666,1.746927988588387,-0.3075546660968205,0.8112187682915188,1.1614214563421186,-0.35020268805059973,226049093
train,mixed|high_ant,1323,path_loss,nlos,2.4049157652159114,2.6830291009133895,-0.2781133356974781,1.5830099570309608,1.8713990000361802,-0.2883890430052194,8417977
train,mixed|high_ant,1323,delay_spread,overall,13.94264514649689,14.703105528952474,-0.7604603824555838,3.079641402317648,2.795678893906469,0.2839625084111792,278872158
train,mixed|high_ant,1323,delay_spread,los,13.909100826691896,14.8230387101351,-0.9139378834432037,3.5442444210559163,3.252351475717379,0.2918929453385375,226049093
train,mixed|high_ant,1323,delay_spread,nlos,14.085290963630342,14.178412294175605,-0.09312133054526228,1.0914362317539135,0.8414110110033758,0.2500252207505377,52823065
train,mixed|high_ant,1323,angular_spread,overall,9.836806692564329,12.181496927081099,-2.3446902345167704,3.785232991691416,3.7619708562993113,0.023262135392104533,278872158
train,mixed|high_ant,1323,angular_spread,los,10.5646167575773,13.231865622114777,-2.667248864537477,4.5017306682158145,4.524581447198065,-0.022850778982250297,226049093
train,mixed|high_ant,1323,angular_spread,nlos,5.763786192473833,5.844493507517716,-0.08070731504388284,0.7190790656054714,0.4984829618880118,0.22059610371745964,52823065
train,mixed|low_ant,1288,path_loss,overall,2.1764067468866366,2.437987829622986,-0.2615810827363494,1.3119634033214544,1.5486046730563898,-0.23664126973493538,169163147
train,mixed|low_ant,1288,path_loss,los,1.7247435700147629,1.9497059995973327,-0.22496242958256985,1.0524965239748851,1.2534415215531194,-0.20094499757823425,139379123
train,mixed|low_ant,1288,path_loss,nlos,3.603100889825598,3.9962026149294716,-0.39310172510387353,2.5261803528013727,2.929868041433781,-0.40368768863240856,29784024
train,mixed|low_ant,1288,delay_spread,overall,41.150452067763815,44.3089862366873,-3.158534168923488,17.090787100812992,16.353247996730264,0.7375391040827282,271180983
train,mixed|low_ant,1288,delay_spread,los,42.662079332358694,47.808859569571766,-5.146780237213072,26.29898904619954,26.475024120914817,-0.17603507471527635,139379123
train,mixed|low_ant,1288,delay_spread,nlos,39.48902126600089,40.27841421966199,-0.7893929536610997,7.353207510218093,5.6495729730633615,1.7036345371547315,131801860
train,mixed|low_ant,1288,angular_spread,overall,13.783600150904268,16.347659202114023,-2.564059051209755,7.254406490812565,7.353978763096009,-0.09957227228344401,271180983
train,mixed|low_ant,1288,angular_spread,los,16.625600793789378,20.47675129894063,-3.851150505151253,11.732100031381785,12.688433455598341,-0.956333424216556,139379123
train,mixed|low_ant,1288,angular_spread,nlos,9.929563148869336,10.317614714234235,-0.3880515653648988,2.519291221874127,1.7128473271804223,0.8064438946937047,131801860
train,mixed|mid_ant,1319,path_loss,overall,1.8416124616591143,2.117821143409853,-0.27620868175073876,1.0646622133252592,1.351193317882485,-0.28653110455722586,206246066
train,mixed|mid_ant,1319,path_loss,los,1.606894270033859,1.8796619552392775,-0.2727676852054184,0.9382489548417746,1.2160135816458622,-0.27776462680408753,182773552
train,mixed|mid_ant,1319,path_loss,nlos,3.1135683899807147,3.4494058371664296,-0.33583744718571484,2.0490050293285265,2.4037980720052157,-0.3547930426766892,23472514
train,mixed|mid_ant,1319,delay_spread,overall,31.485712085777408,33.76944473242912,-2.283732646651714,11.732528907181031,10.738110716896953,0.9944181902840779,278963869
train,mixed|mid_ant,1319,delay_spread,los,31.245123911251447,34.47019717731072,-3.225073266059276,15.23765003842706,14.369071963234935,0.8685780751921239,182773552
train,mixed|mid_ant,1319,delay_spread,nlos,31.9378660124972,32.396190188602326,-0.4583241761051262,5.07236333207557,3.8388331907871813,1.2335301412883886,96190317
train,mixed|mid_ant,1319,angular_spread,overall,13.113512661475562,15.941258841285082,-2.8277461798095196,6.870791101165416,6.881797973819775,-0.011006872654358624,278963869
train,mixed|mid_ant,1319,angular_spread,los,14.667620377604065,18.384859539938734,-3.7172391623346694,9.334839143090297,9.738064615812139,-0.40322547272184117,182773552
train,mixed|mid_ant,1319,angular_spread,nlos,9.482963190572551,9.733580616017505,-0.250617425444954,2.188793743752659,1.4545366066675391,0.7342571370851199,96190317
train,open|high_ant,822,path_loss,overall,1.147838398026824,1.3942086614297822,-0.2463702634029581,0.6673158127684059,0.9768911311027285,-0.3095753183343226,193120748
train,open|high_ant,822,path_loss,los,1.1356230184762155,1.3823833294656924,-0.24676031098947693,0.6612570524598397,0.9712295248873453,-0.3099724724275056,191895678
train,open|high_ant,822,path_loss,nlos,2.3846935184570426,2.662137082466108,-0.27744356400906556,1.6163632849569889,1.8637289864614062,-0.24736570150441728,1225070
train,open|high_ant,822,delay_spread,overall,11.548132941378658,12.218492579385753,-0.6703596380070955,2.104405617460356,1.9372451285051948,0.16716048895516122,202501191
train,open|high_ant,822,delay_spread,los,11.53826417940719,12.242387202601885,-0.7041230231946951,2.1818111048972533,2.012060778368273,0.16975032652898037,191895678
train,open|high_ant,822,delay_spread,nlos,11.725263089805408,11.77777344430669,-0.052510354501283274,0.7038346639695143,0.5835341987446193,0.12030046522489501,10605513
train,open|high_ant,822,angular_spread,overall,5.970414526125033,7.265059074878919,-1.2946445487538858,1.5165760412122955,1.4332743083421873,0.08330173287010822,202501191
train,open|high_ant,822,angular_spread,los,6.049479539449553,7.393218632870272,-1.3437390934207185,1.5784365332453256,1.4964617399249605,0.08197479332036517,191895678
train,open|high_ant,822,angular_spread,nlos,4.295369788109434,4.334721488197905,-0.03935170008847155,0.397274965806824,0.28996378646948234,0.10731117933734163,10605513
train,open|low_ant,843,path_loss,overall,1.3922898196139062,1.6215172639354243,-0.2292274443215181,0.7684810462042955,0.9679158119802955,-0.19943476577600006,182685677
train,open|low_ant,843,path_loss,los,1.181549941470762,1.3872186312568497,-0.20566868978608777,0.6824722304048592,0.8713234653650803,-0.18885123496022116,174784901
train,open|low_ant,843,path_loss,nlos,3.733356387501721,4.269005953747031,-0.5356495662453096,2.6712109390730845,3.1047798310323187,-0.4335688919592342,7900776
train,open|low_ant,843,delay_spread,overall,45.549442737609255,49.03606482197619,-3.4866220843669353,21.239046852690766,20.109367011525293,1.1296798411654727,207818928
train,open|low_ant,843,delay_spread,los,45.079448828462034,49.13472782468624,-4.055278996224203,23.665418020316796,22.618289764074788,1.047128256242008,174784901
train,open|low_ant,843,delay_spread,nlos,47.959612491023094,48.5106929694663,-0.551080478443204,8.400979880112875,6.834515371624806,1.5664645084880684,33034027
train,open|low_ant,843,angular_spread,overall,12.252603481665433,14.299197212831235,-2.0465937311658013,6.725678580643257,6.361538851508181,0.36413972913507653,207818928
train,open|low_ant,843,angular_spread,los,12.673889900450076,14.978386217339168,-2.3044963168890913,7.558900761443991,7.258280832117615,0.30061992932637605,174784901
train,open|low_ant,843,angular_spread,nlos,9.72439637022527,9.96264617309536,-0.23824980287009012,2.3170529963925497,1.6168263498778708,0.7002266465146789,33034027
train,open|mid_ant,860,path_loss,overall,1.170335178440904,1.4430558571715342,-0.2727206787306302,0.6485943100164503,0.9359798291436179,-0.2873855191271676,195516299
train,open|mid_ant,860,path_loss,los,1.084986736347579,1.3574740718544542,-0.2724873355068753,0.6156822672963628,0.9013224357529064,-0.2856401684565436,191266123
train,open|mid_ant,860,path_loss,nlos,3.1673372713652967,3.587229964927099,-0.41989269356180214,2.1296997047407316,2.4956293167847714,-0.36592961204403984,4250176
train,open|mid_ant,860,delay_spread,overall,28.31089271839538,30.072320748030574,-1.7614280296351943,9.436272948774564,8.42717920967799,1.0090937390965742,212651081
train,open|mid_ant,860,delay_spread,los,28.055467084379426,29.998058045916128,-1.9425909615367019,10.073817695574904,9.027398305061778,1.046419390513126,191266123
train,open|mid_ant,860,delay_spread,nlos,30.500434078865,30.72854356977641,-0.22810949091141097,3.734101252062069,3.058845514795941,0.6752557372661281,21384958
train,open|mid_ant,860,angular_spread,overall,9.440247416169,11.179000753191993,-1.7387533370229917,4.071516077713328,3.7434539061313306,0.3280621715819976,212651081
train,open|mid_ant,860,angular_spread,los,9.603543893501012,11.48244634613628,-1.878902452635268,4.370773474376967,4.051182764639566,0.3195907097374011,191266123
train,open|mid_ant,860,angular_spread,nlos,7.8297188534941045,7.966605454984486,-0.13688660149038157,1.3949710147379366,0.991140439823903,0.4038305749140336,21384958
val,dense|high_ant,369,path_loss,overall,1.766251525251543,2.0685854146309883,-0.3023338893794454,1.0840431116885971,1.383095874357735,-0.29905276266913794,41346835
val,dense|high_ant,369,path_loss,los,1.7350178431506131,2.043372400678505,-0.30835455752789165,1.0631205819527898,1.3650183445377266,-0.30189776258493684,38874093
val,dense|high_ant,369,path_loss,nlos,2.1997407089989314,2.4308275368086716,-0.23108682780974021,1.4129673455917529,1.6672935823228172,-0.25432623673106436,2472742
