split,city,subexpert,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
train,Abu Dhabi,mixed|high_ant,181,delay_spread,nlos,11.320030815705712,11.418460015181495,-0.09842919947578288,1.1672211642357393,0.7686614979763563,0.398559666259383,8167992
train,Abu Dhabi,mixed|high_ant,181,angular_spread,overall,9.979808651087138,12.214838689661864,-2.2350300385747257,4.3208937279266,4.02505560618207,0.29583812174452984,38733272
train,Abu Dhabi,mixed|high_ant,181,angular_spread,los,10.82774229768804,13.413104823327851,-2.5853625256398107,5.256080931534081,4.964321972819323,0.291758958714758,30565280
train,Abu Dhabi,mixed|high_ant,181,angular_spread,nlos,5.7942626212715345,5.855457941613488,-0.06119532034195352,0.8213484824820493,0.510245708550953,0.3111027739310963,8167992
train,Abu Dhabi,mixed|low_ant,187,path_loss,overall,2.5031533462295203,2.788946226726816,-0.2857928804972958,1.5386491207284438,1.7711385303292464,-0.23248940960080255,21825126
train,Abu Dhabi,mixed|low_ant,187,path_loss,los,1.761919694260175,1.9453912453942763,-0.1834715511341014,1.0748956852632083,1.2465761914140703,-0.17168050615086194,16733300
train,Abu Dhabi,mixed|low_ant,187,path_loss,nlos,4.081072997134553,4.571942359528294,-0.4908693623937408,3.0626849830232197,3.4950110568259,-0.4323260738026802,5091826
train,Abu Dhabi,mixed|low_ant,187,delay_spread,overall,49.851627024117896,53.816946919832986,-3.9653198957150906,22.029271043610514,21.60083652881741,0.42843451479310346,39820209
train,Abu Dhabi,mixed|low_ant,187,delay_spread,los,53.486134159570994,60.864921947852686,-7.3787877882816915,39.31282439473003,41.07502683330638,-1.7622024385763524,16733300
train,Abu Dhabi,mixed|low_ant,187,delay_spread,nlos,47.0421565729709,48.066924561592764,-1.0247679886218606,9.502220152933855,7.486020473944848,2.0161996789890075,23086909
train,Abu Dhabi,mixed|low_ant,187,angular_spread,overall,12.91254770605112,15.185986583084498,-2.273438877033378,6.863782284557133,7.020221677142786,-0.15643939258565265,39820209
train,Abu Dhabi,mixed|low_ant,187,angular_spread,los,16.031846529101866,19.87444636249332,-3.8425998333914535,12.57285000112519,14.135474301243628,-1.5626243001184381,16733300
train,Abu Dhabi,mixed|low_ant,187,angular_spread,nlos,10.064531726454826,10.558059864720502,-0.49352813826567576,2.7258726845278964,1.863114757683131,0.8627579268447654,23086909
