group_type,group,pair,pair_label,task,scope,n_samples,rmse_pw,n_pixels,ssim_pw,ssim_pixels,ssim_sample_mean,ssim_sample_count,map_corr,map_corr_pixels,grad_mag_corr,grad_corr_pixels
topology_class_3,mixed,model,GT-model,delay_spread,los,5,6.7319200007229485,701813,0.7622818307086662,701813,0.7146033007294574,5,0.5239272243206229,701813,0.34853945210322584,701813
topology_class_3,mixed,model,GT-model,delay_spread,nlos,5,9.173828389339807,363907,0.7441948137879764,363907,0.81173084503972,5,0.11778444762601817,363907,0.3053823168928583,363907
topology_class_3,mixed,model,GT-model,angular_spread,overall,5,12.869153904912022,1065720,0.5849298509397236,1065720,0.5849298509397236,5,0.6598227006592576,1065720,0.42636887306650634,1065720
topology_class_3,mixed,model,GT-model,angular_spread,los,5,13.75910321998141,701813,0.544079096936916,701813,0.49983794304873064,5,0.6840862533160404,701813,0.4360265992550485,701813
topology_class_3,mixed,model,GT-model,angular_spread,nlos,5,10.95046672509438,363907,0.6637125899883607,363907,0.7045289309987245,5,0.16679715993219105,363907,0.3934629009832015,363907
topology_class_3,mixed,prior_vs_model,prior-model,path_loss,overall,5,1.1314056402734562,798634,0.954171400513237,798633,0.9539269914833655,5,0.9786673324274826,798634,0.9180115315617424,798358
topology_class_3,mixed,prior_vs_model,prior-model,path_loss,los,5,1.117965256054894,701813,0.95064128880946,701812,0.9492564484663187,5,0.9679787035811194,701813,0.9044584301854138,701761
topology_class_3,mixed,prior_vs_model,prior-model,path_loss,nlos,5,1.2244264812174857,96821,0.9797595968244834,96821,0.9687092632779486,5,0.966480207548004,96821,0.9779721958931796,96597
topology_class_3,mixed,prior_vs_model,prior-model,delay_spread,overall,5,2.773346428894077,1065720,0.8649735538800142,1065720,0.8649735538800142,5,0.7283406546403286,1065720,0.6739184370445063,1065720
topology_class_3,mixed,prior_vs_model,prior-model,delay_spread,los,5,3.3160132845162167,701813,0.8776932902422149,701813,0.8568228890914469,5,0.3746209578143158,701813,0.6108770152122395,701813
topology_class_3,mixed,prior_vs_model,prior-model,delay_spread,nlos,5,1.1482890328596491,363907,0.8404429008956935,363907,0.8841614815206931,5,0.35735978129506457,363907,0.756046571205643,363907
topology_class_3,mixed,prior_vs_model,prior-model,angular_spread,overall,5,6.078778973924292,1065720,0.6830762787965573,1065720,0.6830762787965574,5,0.6557068597714978,1065720,0.6086694927387033,1065720
topology_class_3,mixed,prior_vs_model,prior-model,angular_spread,los,5,7.447174056906985,701813,0.6454810498763611,701813,0.626705225488159,5,0.5472151403855823,701813,0.5455955886549644,701813
topology_class_3,mixed,prior_vs_model,prior-model,angular_spread,nlos,5,1.1208513929282902,363907,0.7555805735591467,363907,0.7749595208511826,5,0.3398328521603493,363907,0.7142514750034336,363907
topology_class_3,open,prior,GT-prior,path_loss,overall,5,1.366769526692293,1165976,0.9439225067325453,1165976,0.9438691543836271,5,0.9702071242402631,1165976,0.9127689808264173,1165951
topology_class_3,open,prior,GT-prior,path_loss,los,5,1.3657436097687017,1159305,0.9442119343163717,1159305,0.9441494020923749,5,0.9699601722484785,1159305,0.9144669500798436,1159304
topology_class_3,open,prior,GT-prior,path_loss,nlos,5,1.534675765977843,6671,0.893624973369045,6671,0.8928563500695844,5,0.8492743972087048,6671,0.8449615190872072,6647
topology_class_3,open,prior,GT-prior,delay_spread,overall,5,2.512598061678858,1226950,0.9469557190663692,1226950,0.9469557190663693,5,0.45032001266317323,1226950,0.2127012474435517,1226950
topology_class_3,open,prior,GT-prior,delay_spread,los,5,2.5819568544220237,1159305,0.9487160151067997,1159305,0.9482455818200883,5,0.36948409874532007,1159305,0.20715815190762327,1159305
topology_class_3,open,prior,GT-prior,delay_spread,nlos,5,0.5073197391811606,67645,0.9167876356729,67645,0.9237108934035622,5,0.029293248085399123,49005,0.3429930745862259,67645
topology_class_3,open,prior,GT-prior,angular_spread,overall,5,7.315954647789112,1226950,0.8661576083200485,1226950,0.8661576083200486,5,0.33336733730036205,1226950,0.2686202030856493,1226950
topology_class_3,open,prior,GT-prior,angular_spread,los,5,7.471195929879732,1159305,0.8728311251880053,1159305,0.8722908802216611,5,0.3333201410653494,1159305,0.3089627859787746,1159305
topology_class_3,open,prior,GT-prior,angular_spread,nlos,5,3.7658249974831115,67645,0.7517863839485974,67645,0.7532495415156165,5,0.02823148752642609,49005,0.1726169576866368,67645
topology_class_3,open,model,GT-model,path_loss,overall,5,0.832218347265848,1165976,0.9798768798590883,1165976,0.9798118940147003,5,0.98631599921674,1165976,0.9452110644963421,1165951
topology_class_3,open,model,GT-model,path_loss,los,5,0.8276420540553113,1159305,0.9802165826392166,1159305,0.9801391125634267,5,0.9861522011577512,1159305,0.9458785768759015,1159304
topology_class_3,open,model,GT-model,path_loss,nlos,5,1.4186764358551966,6671,0.92084238255485,6671,0.9252897537897466,5,0.866860687896195,6671,0.8721723742056059,6647
