group_type,group,task,scope,n_samples,gt_prior_rmse,gt_model_rmse,delta_model_minus_prior_rmse,prior_model_rmse,gt_prior_ssim,gt_model_ssim,delta_model_minus_prior_ssim,prior_model_ssim,gt_prior_map_corr,gt_model_map_corr,delta_model_minus_prior_map_corr,prior_model_map_corr,gt_prior_grad_corr,gt_model_grad_corr,delta_model_minus_prior_grad_corr,prior_model_grad_corr
topology_class_3,open,angular_spread,overall,5,7.315954647789112,5.933737466967363,-1.3822171808217485,3.0859042139050015,0.8661576083200485,0.8800394707126507,0.01388186239260214,0.9038898032595996,0.33336733730036205,0.632337413354728,0.298970076054366,0.5857991823034825,0.2686202030856493,0.4011009087781643,0.13248070569251497,0.4742167035506617
topology_class_3,open,angular_spread,los,5,7.471195929879732,6.036854428154795,-1.434341501724937,3.174558231334957,0.8728311251880053,0.885990643816356,0.01315951862835063,0.9068075733111111,0.3333201410653494,0.6347181218034877,0.30139798073813834,0.5836162001425657,0.3089627859787746,0.396144719649899,0.08718193367112442,0.46798243241766535
topology_class_3,open,angular_spread,nlos,5,3.7658249974831115,3.7489329211037132,-0.01689207637939827,0.10447148179994557,0.7517863839485974,0.7780478270584128,0.026261443109815374,0.8538848448803025,0.02823148752642609,0.12781143069529535,0.09957994316886926,0.1349713783542047,0.1726169576866368,0.46602604963008915,0.2934090919434523,0.5812097847159202
antenna_bin,high_ant,path_loss,overall,5,1.5759491950970923,1.196056201647577,-0.3798929934495152,1.0091457858196797,0.9291660622438277,0.9584584724432293,0.029292410199401653,0.9647097520545432,0.9560623265254932,0.9740884550230692,0.01802612849757601,0.9800554544300425,0.8717786529375632,0.9162132594182861,0.04443460648072295,0.9415858782131917
antenna_bin,high_ant,path_loss,los,5,1.5734746523513816,1.1897825273644027,-0.3836921249869789,1.0095678680565274,0.9297895487061789,0.9591301233934237,0.029340574687244825,0.9648434875695429,0.9552243587592905,0.9739374726389814,0.01871311387969099,0.979086082267554,0.8727238117533427,0.9168480504226634,0.04412423866932069,0.9413776555268796
antenna_bin,high_ant,path_loss,nlos,5,1.8099823602514749,1.718276176168977,-0.09170618408249775,0.9652660959809636,0.8657708387424706,0.890165951797457,0.024395113054986317,0.9511117136440602,0.7379658610037221,0.758954505938673,0.020988644934950895,0.9502455026601828,0.8029399036791309,0.8364874622297075,0.03354755855057656,0.9529337408259553
antenna_bin,high_ant,delay_spread,overall,5,1.533830633731583,1.3262884204215282,-0.20754221331005485,0.7969698082082974,0.9518577687599529,0.9657591121243222,0.013901343364369323,0.9796539534969824,0.5988521220401216,0.6984839755087596,0.09963185346863801,0.8419627139013572,0.2580387297341014,0.43770758422487854,0.17966885449077713,0.634980793459469
antenna_bin,high_ant,delay_spread,los,5,1.5932301387905694,1.3733783627838618,-0.21985177600670758,0.8355435829655973,0.9531876037793833,0.9666882002812388,0.013500596501855533,0.9799389985928354,0.4587170104744871,0.6119679621368657,0.15325095166237857,0.738173863745585,0.23712714988838368,0.4157493900138298,0.17862224012544614,0.6131488775337551
antenna_bin,high_ant,delay_spread,nlos,5,0.6928236172654636,0.6909302905179414,-0.0018933267475221838,0.017168492015370067,0.9384507868696216,0.9563923351089009,0.017941548239279292,0.9767802177461631,0.0958835213062462,0.1606541299181099,0.0647706086118637,0.09375537250197136,0.42716943727241347,0.6046413762160578,0.17747193894364438,0.7271477672202568
antenna_bin,high_ant,angular_spread,overall,5,8.704370199720486,6.633561272144643,-2.0708089275758432,3.739794622415064,0.8077534516204107,0.8446384212833237,0.03688496966291299,0.8562527253496578,0.3698885177282714,0.6737962508603326,0.30390773313206115,0.5973219814282053,0.26237217843370014,0.44332690655425855,0.1809547281205584,0.46038757715765816
antenna_bin,high_ant,angular_spread,los,5,8.994110022696852,6.782881819502981,-2.211228203193871,3.9206938114008625,0.8126791447820056,0.8494452991322642,0.03676615435025854,0.8588974984969697,0.3647038205137328,0.6736680444587716,0.3089642239450388,0.5889021721277614,0.2965832325006792,0.43255703276707974,0.13597380026640055,0.4477938557892561
antenna_bin,high_ant,angular_spread,nlos,5,4.9058763178225675,4.87923959081637,-0.026636727006197347,0.12288591637222422,0.758094149488995,0.7961769780755923,0.038082828586597284,0.8295889473832513,0.11541526258308415,0.1981053718482517,0.08269010926516754,0.15794305060336677,0.2533194838693551,0.558003688776804,0.30468420490744885,0.6230471196519932
antenna_bin,low_ant,path_loss,overall,3,2.293173766855997,1.9155001016682136,-0.3776736651877832,1.2354012658084494,0.8271580781559772,0.8629522106295908,0.03579413247361363,0.9502703116069839,0.945789696006634,0.9618055364729311,0.016015840466297115,0.9847115198396708,0.7027722711799286,0.7611643198279553,0.05839204864802672,0.9252024165195338
antenna_bin,low_ant,path_loss,los,3,2.2960959279440383,1.8956286403237774,-0.40046728762026085,1.2344466047314802,0.8248240697713084,0.8668796451876103,0.042055575416301894,0.9421081724558197,0.9013850944668901,0.934349534136252,0.03296443966936191,0.9677602172472313,0.6833304088586002,0.7597203468517107,0.07638993799311056,0.9020648108885363
antenna_bin,low_ant,path_loss,nlos,3,2.281638228443877,1.9917734816194597,-0.28986474682441754,1.2391508766620007,0.8363427692336887,0.8474971362689836,0.011154367035294932,0.9823896163743377,0.7889721009260031,0.8103196836072255,0.021347582681222388,0.9686054752904936,0.7011182820170215,0.7132467106635497,0.012128428646528189,0.9804114776700034
antenna_bin,low_ant,delay_spread,overall,3,10.546494385749787,9.805324105778421,-0.7411702799713655,3.484723474039289,0.6717773314629564,0.6283524227146182,-0.043424908748338154,0.7976363689252612,0.22510474200879083,0.4092373815085036,0.18413263949971276,0.6682077018392321,0.14755664122857529,0.23801845075442263,0.09046180952584734,0.7240921241766871
antenna_bin,low_ant,delay_spread,los,3,10.685667348421902,9.413509476554207,-1.2721578718676945,4.570667818802612,0.5790221786935713,0.5767107878893867,-0.002311390804184632,0.789727256070344,-0.010759283129967845,0.41694077582936817,0.427700058959336,0.12182718457610925,0.1305286203061415,0.24542417292364557,0.11489555261750406,0.6610596888467296
antenna_bin,low_ant,delay_spread,nlos,3,10.377094501782462,10.25557793687707,-0.12151656490539153,1.2846886196229987,0.7830371239689885,0.6902965563156136,-0.0927405676533749,0.8071233486657046,0.02045819969392343,0.09970666689677954,0.07924846720285611,0.41499574907159736,0.14923761166836383,0.21913456074606852,0.06989694907770469,0.7745719863710626
antenna_bin,low_ant,angular_spread,overall,3,18.370744500807238,15.058867843619664,-3.3118766571875735,6.685751232030532,0.46380313136371865,0.48276090064441085,0.018957769280692205,0.6407350019043991,0.34135962249293067,0.6029058083960038,0.26154618590307316,0.6805248449682729,0.1918449232913437,0.3658974333051955,0.17405251001385177,0.6742573478425226
antenna_bin,low_ant,angular_spread,los,3,22.28953456975943,17.253330624766555,-5.036203944992874,8.980961459169876,0.2852988337714834,0.3601526867252301,0.07485385295374669,0.5578903088092543,0.22216088352732372,0.6111065105210495,0.38894562699372576,0.49462712648550533,0.184236175416497,0.36645278132276116,0.18221660590626415,0.6191410147512187
antenna_bin,low_ant,angular_spread,nlos,3,12.097810893773909,11.904430457317787,-0.19338043645612224,1.251868537778044,0.6779190108440251,0.629829435738083,-0.04808957510594203,0.7401071994459034,0.04635152451417972,0.15014901673701592,0.1037974922228362,0.37019314205215414,0.1755298539004605,0.3440038460851414,0.1684739921846809,0.7279259361820124
antenna_bin,mid_ant,path_loss,overall,2,1.3489476644329295,0.8938287042005538,-0.45511896023237564,0.9564712193069694,0.9412501998156502,0.9746921379049732,0.03344193808932305,0.9679388386811917,0.968825837866487,0.9848982903547833,0.01607245248829625,0.9844517119604014,0.9042600330322621,0.9347667861464316,0.030506753114169505,0.9599184498222243
antenna_bin,mid_ant,path_loss,los,2,1.3452072255112362,0.8851622905164978,-0.4600449349947384,0.9590118835091089,0.9417072318238063,0.9752605743647584,0.0335533425409521,0.9679040898723732,0.9683456889979599,0.984623105497848,0.01627741649988812,0.9841675191874029,0.9075926914906144,0.936365611047077,0.02877291955646266,0.9614508797161574
antenna_bin,mid_ant,path_loss,nlos,2,1.6863277302467503,1.5380600515940541,-0.1482676786526962,0.648306338726466,0.89480733415037,0.9169285290768842,0.02212119492651421,0.971469957358183,0.8443836602388495,0.8570851756932715,0.012701515454421997,0.9881540294543368,0.8210942287125336,0.8422087775357613,0.02111454882322772,0.9722125680961471
