scope,city_type_6,metric,kind,family,kl,tvd,best,mean,std,skew,excess_kurt
by_class,dense_block_highrise,delay_spread,target_delay_spread,gmm4,0.122400,0.167500,1,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,gmm5,0.124300,0.169900,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,gmm3,0.130800,0.183000,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,gmm2,0.210500,0.211900,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,weibull,0.482400,0.389100,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,gamma,0.530900,0.407600,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,lognormal,0.545700,0.430700,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,spike_plus_exp,0.821900,0.490900,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,laplace,1.774400,0.641500,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,skew_normal,1.878500,0.642900,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,delay_spread,target_delay_spread,gaussian,1.910900,0.646700,0,24.949,45.784,3.301,14.43
by_class,dense_block_highrise,path_loss,pred_los,gmm4,0.003600,0.023700,1,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,gmm5,0.003600,0.024500,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,gmm3,0.016300,0.066400,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,gmm2,0.036600,0.076100,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,weibull,0.046100,0.079100,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,skew_normal,0.090900,0.134100,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,gaussian,0.103500,0.144800,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,laplace,0.151200,0.206700,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,gamma,0.178200,0.182800,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,lognormal,0.232600,0.200100,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_los,spike_plus_exp,1.432600,0.721700,0,97.681,3.95,-0.932,1.015
by_class,dense_block_highrise,path_loss,pred_nlos,gmm5,0.004000,0.021000,1,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,gmm4,0.004300,0.022100,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,gmm3,0.004800,0.023800,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,gmm2,0.008100,0.029700,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,gamma,0.028100,0.078300,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,weibull,0.042900,0.119700,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,lognormal,0.072800,0.081200,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,skew_normal,0.094800,0.172400,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,gaussian,0.103500,0.180500,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,laplace,0.165500,0.238900,0,41.016,20.226,0.759,-0.052
by_class,dense_block_highrise,path_loss,pred_nlos,spike_plus_exp,0.344400,0.334000,0,41.016,20.226,0.759,-0.052
