[prior-calibration] try=TFGFortyEighthTry48 device=directml dataset=CKM_Dataset_270326.h5 log_every=50
[prior-calibration] train 9650/11326 valid_pixels=1929152754 zero_ratio=0.261
[prior-calibration] train 9700/11326 valid_pixels=1938891676 zero_ratio=0.261
[prior-calibration] train 9750/11326 valid_pixels=1948888488 zero_ratio=0.261
[prior-calibration] train 9800/11326 valid_pixels=1959179005 zero_ratio=0.261
[prior-calibration] train 9850/11326 valid_pixels=1968971365 zero_ratio=0.261
[prior-calibration] train 9900/11326 valid_pixels=1978941819 zero_ratio=0.261
[prior-calibration] train 9950/11326 valid_pixels=1989265568 zero_ratio=0.261
[prior-calibration] train 10000/11326 valid_pixels=1999123748 zero_ratio=0.261
[prior-calibration] train 10050/11326 valid_pixels=2009340993 zero_ratio=0.261
[prior-calibration] train 10100/11326 valid_pixels=2019432542 zero_ratio=0.261
[prior-calibration] train 10150/11326 valid_pixels=2029273488 zero_ratio=0.261
[prior-calibration] train 10200/11326 valid_pixels=2039427323 zero_ratio=0.261
[prior-calibration] train 10250/11326 valid_pixels=2049339911 zero_ratio=0.261
[prior-calibration] train 10300/11326 valid_pixels=2059330738 zero_ratio=0.261
[prior-calibration] train 10350/11326 valid_pixels=2069768721 zero_ratio=0.261
[prior-calibration] train 10400/11326 valid_pixels=2079992709 zero_ratio=0.261
[prior-calibration] train 10450/11326 valid_pixels=2089699237 zero_ratio=0.261
[prior-calibration] train 10500/11326 valid_pixels=2099601190 zero_ratio=0.261
[prior-calibration] train 10550/11326 valid_pixels=2109730390 zero_ratio=0.261
[prior-calibration] train 10600/11326 valid_pixels=2119341484 zero_ratio=0.261
[prior-calibration] train 10650/11326 valid_pixels=2129108606 zero_ratio=0.261
[prior-calibration] train 10700/11326 valid_pixels=2139237686 zero_ratio=0.261
[prior-calibration] train 10750/11326 valid_pixels=2149514827 zero_ratio=0.261
[prior-calibration] train 10800/11326 valid_pixels=2159911630 zero_ratio=0.261
[prior-calibration] train 10850/11326 valid_pixels=2170075702 zero_ratio=0.261
[prior-calibration] train 10900/11326 valid_pixels=2180173299 zero_ratio=0.261
[prior-calibration] train 10950/11326 valid_pixels=2189994527 zero_ratio=0.261
[prior-calibration] train 11000/11326 valid_pixels=2200035683 zero_ratio=0.261
[prior-calibration] train 11050/11326 valid_pixels=2209946977 zero_ratio=0.261
[prior-calibration] train 11100/11326 valid_pixels=2219972749 zero_ratio=0.261
[prior-calibration] train 11150/11326 valid_pixels=2229673198 zero_ratio=0.261
[prior-calibration] train 11200/11326 valid_pixels=2239686294 zero_ratio=0.261
[prior-calibration] train 11250/11326 valid_pixels=2249945717 zero_ratio=0.261
[prior-calibration] train 11300/11326 valid_pixels=2260040722 zero_ratio=0.261
[prior-calibration] train 11326/11326 valid_pixels=2265154084 zero_ratio=0.261
[prior-calibration] val 50/2427 raw_rmse=72.1537 best_so_far=24.5541
[prior-calibration] val 100/2427 raw_rmse=67.0895 best_so_far=23.1343
[prior-calibration] val 150/2427 raw_rmse=65.0314 best_so_far=22.8844
[prior-calibration] val 200/2427 raw_rmse=65.0506 best_so_far=23.1994
[prior-calibration] val 250/2427 raw_rmse=65.1996 best_so_far=23.1221
[prior-calibration] val 300/2427 raw_rmse=66.3286 best_so_far=23.4645
[prior-calibration] val 350/2427 raw_rmse=66.0186 best_so_far=23.4453
[prior-calibration] val 400/2427 raw_rmse=66.3968 best_so_far=23.5892
[prior-calibration] val 450/2427 raw_rmse=66.4612 best_so_far=23.7315
[prior-calibration] val 500/2427 raw_rmse=66.3579 best_so_far=23.8062
[prior-calibration] val 550/2427 raw_rmse=66.4937 best_so_far=23.7829
[prior-calibration] val 600/2427 raw_rmse=66.7629 best_so_far=23.8449
[prior-calibration] val 650/2427 raw_rmse=66.8562 best_so_far=23.8716
[prior-calibration] val 700/2427 raw_rmse=66.9948 best_so_far=24.0072
[prior-calibration] val 750/2427 raw_rmse=67.3471 best_so_far=24.1534
